Study_Hours,Attendance,Internal_Mark,Final_Mark,Result
11,62,31,84,1
4,69,38,66,1
11,89,35,91,1
1,56,35,47,0
9,93,31,84,1
12,96,74,100,1
4,83,67,75,1
1,65,74,65,1
5,64,43,72,1
6,61,35,65,1
6,77,68,80,1
1,84,64,63,1
7,60,65,78,1
11,94,86,100,1
10,67,75,91,1
11,69,79,98,1
2,69,85,69,1
5,84,70,85,1
3,78,52,64,1
5,98,71,81,1
11,65,64,96,1
3,84,54,67,1
11,90,44,95,1
1,69,82,64,1
6,80,47,71,1
10,75,43,87,1
7,96,59,83,1
3,70,77,75,1
5,92,57,83,1
7,78,44,82,1
3,87,61,69,1
1,62,39,54,1
11,82,68,95,1
7,93,59,87,1
9,55,73,90,1
11,89,78,100,1
11,76,37,85,1
3,84,30,66,1
12,71,62,100,1
9,61,85,95,1
11,87,68,98,1
6,65,64,82,1
9,55,68,85,1
1,62,89,68,1
5,70,33,62,1
10,60,35,82,1
2,89,79,73,1
11,85,90,100,1
5,88,85,89,1
4,89,78,85,1
4,74,55,76,1
11,78,58,99,1
8,62,45,74,1
6,56,67,77,1
10,69,30,75,1
11,58,44,81,1
1,76,34,54,1
5,97,61,79,1
3,91,66,75,1
8,81,42,76,1
11,82,52,93,1
8,58,73,87,1
11,61,33,81,1
6,61,45,67,1
9,83,38,82,1
5,84,45,76,1
2,83,81,79,1
9,61,33,77,1
9,55,35,79,1
4,65,56,69,1
4,80,87,79,1
7,55,54,73,1
8,73,57,86,1
12,90,72,100,1
3,67,48,60,1
1,92,77,74,1
12,75,33,84,1
8,87,88,100,1
3,58,62,62,1
3,59,68,64,1
4,80,37,70,1
10,70,67,94,1
10,60,56,88,1
10,88,50,96,1
4,97,75,81,1
5,80,38,71,1
5,84,50,79,1
2,55,59,62,1
10,61,34,80,1
9,71,38,84,1
2,70,53,60,1
8,89,75,92,1
11,88,30,89,1
9,74,89,100,1
3,71,37,64,1
12,90,39,92,1
10,68,75,94,1
11,95,84,100,1
8,71,87,98,1
1,60,70,62,1
